,SCHID,AGEC_NEW,SCHTREAT_(0) Control school (no Roots meetings 2012-2013),SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(0) Girl,GENDER_(1) Boy,GR_(0) 5th grade,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(0) No,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(0) No cell phone,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(0) Do not go to this school,FSCH_(1) Do go to this school,TREAT_(0) Not treatment or control,TREAT_(1) Treatment,TREAT_(2) Control,Composite_Conflict_Score
865,3,12.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,-1.0
13719,33,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
23669,59,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,
6017,18,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,
10216,25,10.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
1515,6,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,11.0
13738,33,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
9845,24,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
7223,20,11.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,
18523,45,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
7699,21,,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
19858,50,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,
10516,25,12.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
8386,22,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22071,56,14.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
2725,8,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
12555,30,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
18512,45,14.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
2704,8,13.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,
13147,32,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
19033,47,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
13337,32,13.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,
20605,53,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
21371,53,13.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,
22902,58,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
6143,18,14.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
17379,42,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
2438,8,11.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
21689,56,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
7758,22,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
667,2,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8.0
884,3,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,-1.0
16794,40,14.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
17784,42,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
312,2,9.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-3.0
20236,51,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
8647,23,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,
2713,8,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,
24065,60,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
16619,39,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
2262,8,10.0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,12.0
9208,23,14.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
5513,17,12.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
5582,17,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
5248,16,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
17051,41,13.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,
20676,53,10.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
3277,10,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
1506,6,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,11.0
7464,21,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,
19555,49,13.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,
6262,19,12.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
7473,21,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
2965,9,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
15042,36,12.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,
1484,6,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2.0
6716,20,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
15274,36,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
6545,19,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,
5971,18,12.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,
15091,36,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
15382,37,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
7169,20,11.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
19876,50,11.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,
20099,51,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
12313,30,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
6080,18,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
3133,9,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
5576,17,12.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
17014,41,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,
8657,23,11.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,
5195,16,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
1664,7,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2.0
12328,30,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,
24193,60,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
17838,43,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1375,6,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,7.0
6319,19,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
15771,38,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
11386,27,14.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,
21250,53,14.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
13409,32,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,
10492,25,12.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
10797,25,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7944,22,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
4223,12,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
11108,26,13.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,
10670,25,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
16214,38,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13678,33,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
12445,30,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,
3352,10,11.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,
13589,33,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
23680,59,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
21825,56,11.0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,
3336,10,12.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
2043,7,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,7.0
6250,19,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
21777,56,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
19522,49,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
5751,18,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,
22026,56,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
14682,35,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
13669,33,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
20600,53,10.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
18209,45,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
9749,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
22528,57,11.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
9871,24,14.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,
8663,23,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
23122,58,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
18899,47,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
17239,41,12.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
15482,37,14.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,
9712,24,12.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,
24407,60,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
23482,59,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
3185,10,10.0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
11630,28,12.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,
19904,50,12.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
15851,38,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
2497,8,,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
9859,24,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
5657,17,15.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
11720,28,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,
14619,35,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,
12824,31,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
13825,33,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13435,32,13.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
13723,33,12.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
9084,23,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
9189,23,13.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,
2310,8,10.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.5
8476,23,11.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
18822,47,10.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,
21004,53,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,
3734,11,11.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
16817,40,13.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
20317,51,13.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
8625,23,12.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
19435,49,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
22939,58,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
8932,23,12.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
13642,33,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,
16038,38,13.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,
15353,36,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,
2751,8,13.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,
3830,11,13.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,
22274,56,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
4771,13,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18685,46,12.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,
11724,28,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14790,36,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
2228,8,10.0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,11.0
21659,56,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
24299,60,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
21657,56,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
22192,56,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6506,19,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
15473,37,13.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,
133,1,13.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,-21.0
7983,22,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
20729,53,10.0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
19792,49,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3511,11,11.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
19034,47,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
20123,51,11.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
10240,25,11.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,
7463,21,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,
22073,56,13.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,
21279,53,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
9648,24,12.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
5315,16,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
12648,31,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
16814,40,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,
12702,31,10.0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,
7831,22,10.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
18736,46,12.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
17898,43,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
22481,57,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
7231,20,11.0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,
4678,13,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
16068,38,13.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,
12651,31,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
23610,59,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
17848,43,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,
13084,32,10.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
20880,53,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
4476,12,14.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,
22012,56,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
1222,6,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-3.25
21303,53,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
20262,51,14.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
3465,10,13.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,
3657,11,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
2688,8,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
4908,14,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
9769,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
4152,12,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
6189,18,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19691,49,14.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
2968,9,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
21518,55,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
86,1,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0.0
11960,29,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,
20395,51,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
601,2,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,11.0
20168,51,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,
1443,6,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,-3.0
5117,15,13.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
13284,32,12.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
13865,34,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,
6219,19,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
19658,49,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
4011,12,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,
18598,45,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18510,45,14.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
19700,49,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
22402,57,10.0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
14977,36,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
21517,55,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23742,59,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
1393,6,13.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2.0
22838,58,12.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,
17424,42,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
11015,26,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,
14459,35,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
9493,24,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
4778,13,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
6102,18,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
4728,13,13.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,
22149,56,13.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
700,2,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,-15.0
7064,20,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
3965,11,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
20152,51,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
13928,34,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,
23618,59,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
18881,47,10.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
20695,53,10.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,
12629,30,13.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,
13817,33,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,
8964,23,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
8489,23,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
21072,53,12.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
866,3,12.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1.0
1890,7,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,17.0
17511,42,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
11472,28,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
580,2,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25
1524,6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
5700,17,14.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,
8045,22,12.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
17368,42,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
6477,19,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
5015,14,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
15737,38,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
18413,45,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
18005,44,12.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,
2883,9,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
17760,42,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
1724,7,12.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,-15.0
16916,41,10.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
7681,21,13.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
12811,31,11.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,
10606,25,13.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,
10580,25,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
20292,51,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
3523,11,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
6644,19,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
9718,24,12.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,
4920,14,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
